,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Katsuura,20,JP,1573067117,81,33.93,134.5,50.0,12.75
1,Chokurdakh,100,RU,1573067119,95,70.62,147.9,4.01,5.37
2,Bredasdorp,58,ZA,1573067120,67,-34.53,20.04,60.01,17.22
3,Grindavik,100,IS,1573067121,60,63.84,-22.43,37.4,12.75
4,Santiago de Cao,20,PE,1573067122,72,-7.96,-79.24,68.0,13.87
5,Jamestown,60,AU,1573067123,78,-33.21,138.6,48.88,16.15
6,Mar del Plata,100,AR,1573067077,16,-46.43,-67.52,63.9,36.04
7,Hermanus,23,ZA,1573067126,74,-34.42,19.24,60.01,11.01
8,Ponnani,75,IN,1573066869,94,10.77,75.93,77.0,4.7
9,La Plata,75,AR,1573067128,61,-34.92,-57.95,80.01,14.99
10,Along,0,IN,1573067129,91,28.17,94.8,59.83,3.09
11,Barrow,0,AR,1573067131,27,-38.31,-60.23,85.19,17.36
12,Kodiak,1,US,1573067132,51,39.95,-94.76,64.99,9.17
13,Victoria,75,BN,1573067133,88,5.28,115.24,78.8,1.12
14,Ziro,1,IN,1573067134,83,27.54,93.82,54.73,3.18
15,Bluff,47,AU,1573067135,83,-23.58,149.07,61.59,4.03
16,Mataura,100,NZ,1573067137,92,-46.19,168.86,52.0,1.23
17,Nikolskoye,100,RU,1573067138,74,59.7,30.79,30.0,11.18
18,Rikitea,27,PF,1573067139,85,-23.12,-134.97,75.38,2.15
19,Punta Arenas,20,CL,1573067140,75,-53.16,-70.91,44.6,28.86
20,Husavik,13,CA,1573067142,61,50.56,-96.99,19.99,7.0
21,Champerico,40,MX,1573067143,55,16.38,-93.6,86.0,6.33
22,Kavieng,100,PG,1573067144,79,-2.57,150.8,81.77,13.27
23,Morondava,83,MG,1573067145,82,-20.3,44.28,77.83,4.23
24,Emerald,25,AU,1573067147,62,-23.53,148.16,59.0,1.12
25,Hobart,75,AU,1573067148,70,-42.88,147.33,45.0,13.87
26,Busselton,90,AU,1573067150,62,-33.64,115.35,55.0,11.14
27,Castro,90,CL,1573067151,99,-42.48,-73.76,53.6,6.93
28,San Patricio,32,PY,1573067152,42,-26.98,-56.83,90.36,4.38
29,Zhezkazgan,79,KZ,1573067153,40,47.8,67.71,32.74,7.99
30,Clyde River,90,CA,1573067155,92,70.47,-68.59,23.0,5.82
31,Asosa,41,ET,1573067156,87,10.07,34.53,66.2,4.65
32,Hilo,1,US,1573067157,57,19.71,-155.08,81.0,4.7
33,Albany,20,US,1573067079,34,42.65,-73.75,50.0,10.29
34,Ketchikan,90,US,1573067160,100,55.34,-131.65,44.6,6.93
35,Pozo Colorado,100,PY,1573067161,47,-23.49,-58.8,91.02,3.62
36,Broome,86,GB,1573067163,93,52.47,1.45,45.0,4.7
37,Sao Filipe,60,CV,1573067164,75,14.9,-24.5,77.13,21.72
38,Machilipatnam,100,IN,1573067166,83,16.18,81.14,78.8,2.24
39,Srednekolymsk,100,RU,1573067167,94,67.46,153.71,15.48,3.11
40,Georgetown,75,GY,1573067168,70,6.8,-58.16,93.2,11.41
41,Beja,90,PT,1573067170,77,38.02,-7.87,59.0,4.7
42,Mwanza,20,TZ,1573067171,73,-2.52,32.9,75.2,11.41
43,Kodinsk,100,RU,1573067172,93,58.6,99.18,25.5,9.78
44,Kaitangata,100,NZ,1573067173,98,-46.28,169.85,51.01,3.0
45,Duncan,90,US,1573067174,88,34.5,-97.96,66.0,4.7
46,Cape Town,40,ZA,1573067176,72,-33.93,18.42,63.0,10.29
47,Madarounfa,0,NE,1573067177,35,13.3,7.16,86.0,2.24
48,Arraial do Cabo,75,BR,1573067178,78,-22.97,-42.02,77.0,9.17
49,Ponta do Sol,65,BR,1573067179,46,-20.63,-46.0,87.49,3.4
50,Carutapera,17,BR,1573067180,75,-1.2,-46.02,82.67,17.78
51,Boa Vista,75,BR,1573067182,46,2.82,-60.67,91.4,8.05
52,Maldonado,75,UY,1573067183,41,-34.91,-54.96,77.0,11.41
53,Butaritari,100,KI,1573067184,73,3.07,172.79,83.95,10.74
54,Bambous Virieux,40,MU,1573067185,88,-20.34,57.76,75.2,6.93
55,Muros,75,ES,1573067186,100,42.77,-9.06,60.01,8.05
56,Tiksi,91,RU,1573067187,97,71.64,128.87,-11.01,3.51
57,Palana,24,RU,1573067189,74,59.08,159.95,34.79,16.15
58,Kapaa,40,US,1573067190,88,22.08,-159.32,77.0,8.05
59,Port Elizabeth,1,US,1573067191,33,39.31,-74.98,59.0,6.93
60,Puerto Ayora,40,EC,1573067192,57,-0.74,-90.35,80.6,19.46
61,Sept-Iles,75,CA,1573066948,59,50.2,-66.38,37.4,23.04
62,Tadine,13,NC,1573067194,84,-21.55,167.88,67.1,7.92
63,Novikovo,94,RU,1573067195,80,51.15,37.89,56.41,15.01
64,Luderitz,0,NA,1573067197,85,-26.65,15.16,57.65,25.21
65,Hithadhoo,92,MV,1573067198,68,-0.6,73.08,82.74,5.77
66,Omsukchan,100,RU,1573067199,88,62.53,155.8,23.02,7.09
67,Nalut,100,LY,1573067200,41,31.86,10.98,71.31,13.29
68,Aripuana,100,BR,1573067201,38,-9.17,-60.63,95.86,4.45
69,Ushuaia,75,AR,1573066918,100,-54.81,-68.31,37.4,19.46
70,Gijon,75,ES,1573067204,82,43.54,-5.66,61.0,11.41
71,Provideniya,0,RU,1573067205,80,64.42,-173.23,16.65,12.84
72,Witu,20,KE,1573067206,83,-2.39,40.44,80.6,9.95
73,Nyurba,3,RU,1573067207,96,63.29,118.35,-7.48,3.74
74,Atambua,48,ID,1573067209,76,-9.11,124.89,75.09,1.81
75,Kenitra,20,MA,1573067034,87,34.26,-6.57,64.0,3.36
76,Rocha,27,UY,1573067211,49,-34.48,-54.34,74.82,7.07
77,San Cristobal,63,HN,1573067212,54,14.68,-86.92,79.3,3.67
78,Atuona,33,PF,1573067213,77,-9.8,-139.03,80.56,20.94
79,Ambon,95,FR,1573067215,82,47.55,-2.56,55.4,11.41
80,Yellowknife,20,CA,1573067209,85,62.45,-114.38,15.01,5.82
81,Lagoa,20,PT,1573067217,59,37.14,-8.45,64.99,13.87
82,Airai,34,TL,1573067218,73,-8.93,125.41,66.49,4.03
83,Hurricane,1,US,1573067209,16,37.18,-113.29,66.2,1.43
84,Port Hardy,90,CA,1573067220,93,50.7,-127.42,44.6,4.7
85,Cayenne,47,GF,1573067222,70,4.94,-52.33,84.2,10.29
86,Chumikan,46,RU,1573067223,51,54.72,135.31,14.72,17.36
87,Avarua,33,CK,1573067228,73,-21.21,-159.78,75.2,4.7
88,Hamilton,75,CA,1573067229,51,43.26,-79.87,42.8,16.11
89,Port Alfred,91,ZA,1573067230,92,-33.59,26.89,64.0,11.39
90,Rio Grande,0,BR,1573067136,44,-32.03,-52.1,75.2,12.75
91,Lompoc,1,US,1573067232,55,34.64,-120.46,75.99,4.7
92,Goderich,44,CA,1573067233,82,43.74,-81.71,37.99,4.0
93,Dikson,0,RU,1573067235,89,73.51,80.55,-9.41,12.08
94,Fairlie,90,US,1573067236,64,33.31,-95.96,75.2,11.41
95,Saint-Philippe,20,CA,1573067237,35,45.36,-73.48,43.0,21.92
96,Upernavik,100,GL,1573067238,95,72.79,-56.15,21.83,5.68
97,Guerrero Negro,13,MX,1573067239,53,27.97,-114.04,72.43,8.97
98,Venado Tuerto,100,AR,1573067240,23,-33.75,-61.97,84.99,4.0
99,Kloulklubed,90,PW,1573067242,83,7.04,134.26,80.6,13.87
100,Hobyo,71,SO,1573067243,75,5.35,48.53,80.74,9.89
101,Gat,4,SN,1573067244,61,14.69,-16.54,100.4,19.46
102,Zhanaozen,83,KZ,1573067245,28,43.35,52.85,43.86,13.42
